particion;periodo;nota_final_materia;fecha_mesa_epoch;nombre_examen;nota_parcial;assignment_id;ass_name;ass_created_at;ass_due_at;ass_unlock_at;ass_lock_at;points_possible;ass_name_sub;sub_uuid;score;submission_type;s_submitted_at;s_graded_at;s_created_at;user_uuid;course_uuid;course_name;legajo
0;1-2022;9.0;;;;;;;;;;;;;;;;;;13df535e-065c-4593-98ea-5b1e29015b7d;09614210-fce2-48bc-93e3-bc4bd441fe00;Progressive homogeneous structure;834066QFF
1;1-2022;9.0;;;;;;;;;;;;;;;;;;13df535e-065c-4593-98ea-5b1e29015b7d;09614210-fce2-48bc-93e3-bc4bd441fe00;Progressive homogeneous structure;834066QFF
2;1-2022;9.0;;;;;;;;;;;;;;;;;;13df535e-065c-4593-98ea-5b1e29015b7d;09614210-fce2-48bc-93e3-bc4bd441fe00;Progressive homogeneous structure;834066QFF
3;1-2022;9.0;;;;;;;;;;;;;;;;;;13df535e-065c-4593-98ea-5b1e29015b7d;09614210-fce2-48bc-93e3-bc4bd441fe00;Progressive homogeneous structure;834066QFF
4;1-2022;9.0;;;;;;;;;;;;;;;;;;13df535e-065c-4593-98ea-5b1e29015b7d;09614210-fce2-48bc-93e3-bc4bd441fe00;Progressive homogeneous structure;834066QFF
5;1-2022;9.0;;;;;;;;;;;;;;;;;;13df535e-065c-4593-98ea-5b1e29015b7d;09614210-fce2-48bc-93e3-bc4bd441fe00;Progressive homogeneous structure;834066QFF
6;1-2022;9.0;;;;;;;;;;;;;;;;;;13df535e-065c-4593-98ea-5b1e29015b7d;09614210-fce2-48bc-93e3-bc4bd441fe00;Progressive homogeneous structure;834066QFF
7;1-2022;9.0;;;;;;;;;;;;;;;;;;13df535e-065c-4593-98ea-5b1e29015b7d;09614210-fce2-48bc-93e3-bc4bd441fe00;Progressive homogeneous structure;834066QFF
8;1-2022;9.0;;;;;;;;;;;;;;;;;;13df535e-065c-4593-98ea-5b1e29015b7d;09614210-fce2-48bc-93e3-bc4bd441fe00;Progressive homogeneous structure;834066QFF
9;1-2022;9.0;;;;;;;;;;;;;;;;;;13df535e-065c-4593-98ea-5b1e29015b7d;09614210-fce2-48bc-93e3-bc4bd441fe00;Progressive homogeneous structure;834066QFF
10;1-2022;9.0;;;;;;;;;;;;;;;;;;13df535e-065c-4593-98ea-5b1e29015b7d;09614210-fce2-48bc-93e3-bc4bd441fe00;Progressive homogeneous structure;834066QFF
11;1-2022;9.0;;;;;;;;;;;;;;;;;;13df535e-065c-4593-98ea-5b1e29015b7d;09614210-fce2-48bc-93e3-bc4bd441fe00;Progressive homogeneous structure;834066QFF
12;1-2022;9.0;;;;;;;;;;;;;;;;;;13df535e-065c-4593-98ea-5b1e29015b7d;09614210-fce2-48bc-93e3-bc4bd441fe00;Progressive homogeneous structure;834066QFF
13;1-2022;9.0;;;;;;;;;;;;;;;;;;13df535e-065c-4593-98ea-5b1e29015b7d;09614210-fce2-48bc-93e3-bc4bd441fe00;Progressive homogeneous structure;834066QFF
14;1-2022;9.0;;;;;;;;;;;;;;;;;;13df535e-065c-4593-98ea-5b1e29015b7d;09614210-fce2-48bc-93e3-bc4bd441fe00;Progressive homogeneous structure;834066QFF
15;1-2022;9.0;;;;;;;;;;;Actividad Práctica Integradora 1 [API1];ef6fc92b-98da-40de-b440-1990379ee5e1;100.0;external_tool;1648955999.0;1648956585.0;1659392827.0;13df535e-065c-4593-98ea-5b1e29015b7d;09614210-fce2-48bc-93e3-bc4bd441fe00;Progressive homogeneous structure;834066QFF
16;1-2022;9.0;;;;;;;;;;;;;;;;;;13df535e-065c-4593-98ea-5b1e29015b7d;09614210-fce2-48bc-93e3-bc4bd441fe00;Progressive homogeneous structure;834066QFF
17;1-2022;9.0;;;;;;;;;;;;;;;;;;13df535e-065c-4593-98ea-5b1e29015b7d;09614210-fce2-48bc-93e3-bc4bd441fe00;Progressive homogeneous structure;834066QFF
18;1-2022;9.0;;;;195289;Actividad Práctica Integradora 1 [API1];1645728359.0;1649645999.0;1647831600.0;1649645999.0;100.0;;;;;;;;13df535e-065c-4593-98ea-5b1e29015b7d;09614210-fce2-48bc-93e3-bc4bd441fe00;Progressive homogeneous structure;834066QFF